BUILDER_NAME;INPUT_FILE;OUTPUT_FILE;GRID_SIZE;ISO_LEVEL;FIELD_ELEMENTS;NUM_THREADS;ELAPSED_TIME;TOTAL_TRIANGLES;OUTPUT_SIZE
Octree;/home/xbubel08/avs-proj02/scripts/../data/benchmark/642.pts;;64;0.15;642;4;128;61952;
Octree;/home/xbubel08/avs-proj02/scripts/../data/benchmark/010.pts;;64;0.15;10;8;2;7680;
Octree;/home/xbubel08/avs-proj02/scripts/../data/benchmark/020.pts;;64;0.15;20;8;4;13016;
Octree;/home/xbubel08/avs-proj02/scripts/../data/benchmark/040.pts;;64;0.15;40;8;9;27344;
Octree;/home/xbubel08/avs-proj02/scripts/../data/benchmark/080.pts;;64;0.15;80;8;19;53520;
Octree;/home/xbubel08/avs-proj02/scripts/../data/benchmark/160.pts;;64;0.15;160;8;34;92648;
Octree;/home/xbubel08/avs-proj02/scripts/../data/benchmark/320.pts;;64;0.15;320;8;40;67036;
Octree;/home/xbubel08/avs-proj02/scripts/../data/benchmark/642.pts;;64;0.15;642;8;66;61952;
Octree;/home/xbubel08/avs-proj02/scripts/../data/benchmark/010.pts;;64;0.15;10;16;3;7680;
Octree;/home/xbubel08/avs-proj02/scripts/../data/benchmark/020.pts;;64;0.15;20;16;5;13016;
Octree;/home/xbubel08/avs-proj02/scripts/../data/benchmark/040.pts;;64;0.15;40;16;10;27344;
Octree;/home/xbubel08/avs-proj02/scripts/../data/benchmark/080.pts;;64;0.15;80;16;20;53520;
Octree;/home/xbubel08/avs-proj02/scripts/../data/benchmark/160.pts;;64;0.15;160;16;35;92648;
Octree;/home/xbubel08/avs-proj02/scripts/../data/benchmark/320.pts;;64;0.15;320;16;27;67036;
Octree;/home/xbubel08/avs-proj02/scripts/../data/benchmark/642.pts;;64;0.15;642;16;36;61952;
Octree;/home/xbubel08/avs-proj02/scripts/../data/benchmark/010.pts;;64;0.15;10;32;171;7680;
Octree;/home/xbubel08/avs-proj02/scripts/../data/benchmark/020.pts;;64;0.15;20;32;74;13016;
Octree;/home/xbubel08/avs-proj02/scripts/../data/benchmark/040.pts;;64;0.15;40;32;248;27344;
Octree;/home/xbubel08/avs-proj02/scripts/../data/benchmark/080.pts;;64;0.15;80;32;341;53520;
Octree;/home/xbubel08/avs-proj02/scripts/../data/benchmark/160.pts;;64;0.15;160;32;583;92648;
Octree;/home/xbubel08/avs-proj02/scripts/../data/benchmark/320.pts;;64;0.15;320;32;322;67036;
Octree;/home/xbubel08/avs-proj02/scripts/../data/benchmark/642.pts;;64;0.15;642;32;374;61952;
